<OUTPUT SRCFILE="5136.raw">
** ** Fz 1 -
SODRÉ sodré NP00O00 1 -
, , Fc 1 -
Fábio fábio NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
const const AQ0CN00 0.499711 -
. . Fp 1 -
1934 1934 Z 1 -
; ; Fx 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

RJ rj NCMS000 0.169643 -
1935-1937 1935-1937 Z 1 -
. . Fp 1 -

    Fz 1 -
* * Fz 1 -
Fábio_de_Azevedo_Sodré fábio_de_azevedo_sodré NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0113331
em em SP 1 -
o o DA0MS0 1 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
, , Fc 1 -
então então RG 0.994792 -
Distrito_Federal distrito_federal NP00G00 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_24_de_setembro_de_1891 [??:24/9/1891:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00270488/09992837-n:0.002063/10373998-n:0.00199536/09918248-n:0.00193635/09871229-n:0.00186176/09918762-n:0.00170818
de de SP 1 -
Antônio_Augusto_de_Azevedo_Sodré antônio_augusto_de_azevedo_sodré NP00SP0 1 -
, , Fc 1 -
que que PR0CN00 0.584265 -
foi ir VMIS3S0 0.5 01835496-v:0.00132606/02051694-v:0.000747926/01955984-v:0.000700917/01995549-v:0.000682164/02072849-v:0.000671018/01904930-v:0.000645802/02009433-v:0.000631875/01935233-v:0.000612275/01957529-v:0.000608631/02102398-v:0.00059108/00341560-v:0.000579409/02685951-v:0.00055531/01882814-v:0.000547192/02058994-v:0.000546115/01846916-v:0.000540114/02102002-v:0.000537975/01849221-v:0.000535741/01841079-v:0.000513512/02686471-v:0.000497771/01839538-v:0.000485995/00343898-v:0.000478625
prefeito prefeito NCMS000 1 10303814-n:0.00666753/09880881-n:0.00385584/10304018-n:0.00377228
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Distrito_Federal distrito_federal NP00G00 1 -
, , Fc 1 -
e e CC 0.999951 -
de de SP 1 -
Luzia_Sales_Sodré luzia_sales_sodré NP00V00 1 -
. . Fp 1 -

Era ser VMII1S0 0.331795 02604760-v:0.0127391
bisneto bisneto NCMS000 1 -
de de SP 1 -
Irineu_Evangelista_de_Sousa irineu_evangelista_de_sousa NP00SP0 1 -
, , Fc 1 -
o o DA0MS0 0.950254 -
visconde visconde NCMS000 1 10755815-n:0.0062492/10756148-n:0.00622445
de de SP 1 -
Mauá mauá NP00G00 1 -
. . Fp 1 -

Fez fazer VMIS3S0 0.997449 02367363-v:0.00125801/01645601-v:0.00116705/00120316-v:0.00104917/01752884-v:0.00102358/02526085-v:0.000767351/00010435-v:0.000759594/01652139-v:0.000705826/01714208-v:0.000694161/01712704-v:0.000692599/01640207-v:0.000677745/01719921-v:0.0006721/01752495-v:0.000668315/01642924-v:0.000660746/01629000-v:0.00065491/01627355-v:0.000650189/01754737-v:0.000647739/02560767-v:0.000645161/01438902-v:0.000644004/01628197-v:0.000642885/01739814-v:0.000624006/00665476-v:0.000617733/01431987-v:0.000611231/01685313-v:0.000605215/02374764-v:0.000603971/01649024-v:0.000595249/00012267-v:0.000586952/02599636-v:0.00056874
seus seu DP3MPS 0.857735 -
primeiros primeiro AO0MP00 0.613636 01012990-a:0.0153665
estudos estudo NCMP000 1 -
em em SP 1 -
sua seu DP3FSS 0.929764 -
cidade cidade NCFS000 1 08524735-n:0.00398879/08665504-n:0.00347247/08626283-n:0.00273776/08226699-n:0.00266408/08672738-n:0.00261118/08226335-n:0.00242834/08177958-n:0.00229881
natal natal AQ0CS00 0.954545 02742844-a:0.00855019/02767378-a:0.0075526
, , Fc 1 -
em em SP 1 -
os o DA0MP0 1 -
colégios colégio NCMP000 1 04146050-n:0.00841428/08412749-n:0.00838158
Kopke kopke NP00O00 1 -
, , Fc 1 -
Americano-Fluminense americano-fluminense NP00O00 1 -
e e CC 0.999951 -
Pedro_II pedro_ii NP00SP0 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
Paris paris NP00G00 1 -
. . Fp 1 -

Ingressou ingressar VMIS3S0 1 02310855-v:0.00818405
depois depois RG 1 00146281-r:0.00468427/00061203-r:0.00407792
em em SP 1 -
a o DA0FS0 1 -
Faculdade_de_Medicina_do_Rio_de_Janeiro faculdade_de_medicina_do_rio_de_janeiro NP00G00 1 -
e e CC 0.999951 -
, , Fc 1 -
ainda ainda RG 1 00047534-r:0.00821532
acadêmico acadêmico AQ0MS00 0.667298 02599939-a:0.00881231
, , Fc 1 -
participou participar VMIS3S0 1 02450256-v:0.00867419
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Campanha_Civilista campanha_civilista NP00V00 1 -
, , Fc 1 -
movimento movimento NCMS000 0.990196 07309781-n:0.000950832/00279835-n:0.000937426/08464601-n:0.000820861/00166355-n:0.000790487/00294190-n:0.000782161/07046339-n:0.000780263/14004317-n:0.000764314/00280586-n:0.000759714/00331655-n:0.000756289/00165942-n:0.000735735/11425088-n:0.000706057
antimilitarista antimilitarista AQ0CS00 0.517364 -
que que PR0CN00 0.584265 -
promoveu promover VMIS3S0 1 02554922-v:0.00421127/00875806-v:0.00416314
em em SP 1 -
1909-1910 1909-1910 Z 1 -
a a SP 0.313151 -
candidatura candidatura NCFS000 1 00799537-n:0.00847276
de de SP 1 -
Rui_Barbosa rui_barbosa NP00SP0 1 -
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
presidência presidência NCFS000 1 15266265-n:0.00413292/00596807-n:0.00412075
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
República república NP00O00 1 08168978-n:0.00440388/08361329-n:0.00429464
, , Fc 1 -
em em SP 1 -
oposição oposição NCFS000 1 13854649-n:0.00185238/00202284-n:0.00177835/13828905-n:0.00171904/01169744-n:0.00169865/08404188-n:0.00163454
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
marechal marechal NCMS000 1 10283663-n:0.00835218
Hermes_da_Fonseca hermes_da_fonseca NP00V00 1 -
, , Fc 1 -
afinal afinal RG 1 00151305-r:0.00760371
eleito eleito AQ0MS00 0.5 00846052-a:0.00491402/01294857-a:0.00414252
em em SP 1 -
o o DA0MS0 1 -
pleito pleito NCMS000 1 01182654-n:0.00840369
de de SP 1 -
março_de_1910 [??:??/3/1910:??.??:??] W 1 -
. . Fp 1 -

Redator-secretário redator-secretário NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
revista revista NCFS000 0.855932 06593296-n:0.00372611/06595351-n:0.00336593/03704210-n:0.00315202/06597466-n:0.00295756
científica científico AQ0FS00 1 02084804-a:0.00622346/02793273-a:0.00604865
Brasil_Médico brasil_médico NP00V00 1 -
em em SP 1 -
o o DA0MS0 1 -
período período NCMS000 1 15113229-n:0.00192105/15248564-n:0.00109145/15247518-n:0.00106155/15254028-n:0.00100113/15144371-n:0.000998908/15290337-n:0.000967984/15248020-n:0.00094265/15122231-n:0.000934953/15248269-n:0.000899768/15236475-n:0.000899144/15249236-n:0.000867366/15224486-n:0.000864948/15120346-n:0.000824722/15134490-n:0.000802715
em em SP 1 -
que que PR0CN00 0.584265 -
era ser VMII1S0 0.331795 02604760-v:0.0137322
estudante estudante NCCS000 1 10665698-n:0.00305192/10016103-n:0.00185948/10251779-n:0.00180702/10559288-n:0.00168777/10767020-n:0.00166701/10558773-n:0.00165066/10059162-n:0.00158293
, , Fc 1 -
em em SP 1 -
1910 1910 Z 1 -
começou começar VMIS3S0 1 00345761-v:0.00199695/02608347-v:0.00112522/00348746-v:0.00100712/01864230-v:0.00100103/01650610-v:0.000903442/01526605-v:0.000877524/02425462-v:0.000868681/01628449-v:0.000865404/00347918-v:0.000802066/00348103-v:0.000795935/02379528-v:0.000786107/00348252-v:0.000781007/02609439-v:0.000775497/00347804-v:0.000757087/02439281-v:0.000736419
a a SP 0.313151 -
trabalhar trabalhar VMN0000 0.328 02413480-v:0.00259974/02410855-v:0.00225517/02419773-v:0.00184754/01235355-v:0.00179617/01668603-v:0.00179334/02415039-v:0.00176455/02594979-v:0.00172901
como como CS 0.751351 -
interno internar VMIP1S0 0.189922 02310855-v:0.0116914
em em SP 1 -
o o DA0MS0 1 -
Hospital_Nacional_dos_Alienados_do_Rio_de_Janeiro hospital_nacional_dos_alienados_do_rio_de_janeiro NP00G00 1 -
, , Fc 1 -
conseguindo conseguir VMG0000 1 02524171-v:0.00627633/02213336-v:0.00538689
, , Fc 1 -
através_de através_de SP 1 -
concurso concurso NCMS000 1 07456188-n:0.0125569
, , Fc 1 -
a o DA0FS0 0.675415 -
sua seu DP3FSS 0.929764 -
efetivação efetivação NCFS000 1 -
a_partir_de a_partir_de SP 1 -
1911 1911 Z 1 -
. . Fp 1 -

Formou formar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
1912 1912 Z 1 -
como como CS 0.751351 -
neuropsiquiatra neuropsiquiatra NCCS000 1 -
, , Fc 1 -
aperfeiçoando aperfeiçoar VMG0000 1 -
se se PP3CN00 1 -
posteriormente posterior RG 1 -
em em SP 1 -
Paris paris NP00G00 1 -
, , Fc 1 -
em em SP 1 -
a o DA0FS0 1 -
clínica clínica NCFS000 0.258847 08054076-n:0.0125451
neurológica neurológico AQ0FS00 1 02917893-a:0.0128713
La_Salpetrière la_salpetrière NP00O00 1 -
e e CC 0.999951 -
em em SP 1 -
a o DA0FS0 1 -
Sorbonne sorbonne NP00O00 1 -
, , Fc 1 -
onde onde RG 0.980752 -
freqüentou freqüentou VMIS3S0 1 -
um um DI0MS0 0.877848 -
curso curso NCMS000 0.980769 08679972-n:0.00145377/09387222-n:0.00143548/13827426-n:0.00141266/08377085-n:0.00138739/08238660-n:0.00129579/08680888-n:0.00128748/08238463-n:0.00126847/00884466-n:0.00125227/00038262-n:0.00121246/08681222-n:0.0011982/08461595-n:0.00112989
de de SP 1 -
fisiologia fisiologia NCFS000 1 06080522-n:0.00666344/05005064-n:0.00636032
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0234152
em em SP 1 -
1912 1912 Z 1 -
passou passar VMIS3S0 1 01212230-v:0.00790351/02709277-v:0.00738061/00106960-v:0.00724685
a a SP 0.313151 -
clinicar clinicar VMN0000 0.529581 -
em em SP 1 -
a o DA0FS0 1 -
companhia companhia NCFS000 1 08058098-n:0.0041633/08208560-n:0.00318725/08274354-n:0.00315792/08187033-n:0.00307374/08056231-n:0.00305454/08214272-n:0.00303756/08274443-n:0.00294215/08218122-n:0.00287757
de de SP 1 -
seguros seguro NCMP000 0.788462 13344804-n:0.0134369/13344071-n:0.0123869
de de SP 1 -
vida vida NCFS000 0.994169 00017222-n:0.00219871/04632157-n:0.00219088/15141059-n:0.00195218/15140892-n:0.00192991/04632963-n:0.00177283/13961642-n:0.00170336/15140405-n:0.00168235/11473291-n:0.00154728/13963192-n:0.00153489/15140744-n:0.00152921/13961399-n:0.00150333/00006269-n:0.00148536/05810561-n:0.00148371/09178727-n:0.00147718/10260706-n:0.00142951
A a SP 0.313151 -
Eqüitativa eqüitativa NP00SP0 1 -
. . Fp 1 -

Assistente assistente NCCS000 0.557567 09821831-n:0.00427525/09815790-n:0.00422036/09608002-n:0.00388195
de de SP 1 -
clínica clínica NCFS000 0.258847 08054076-n:0.0118221
médica médico AQ0FS00 0.548829 02760116-a:0.00485495/01168988-a:0.00423124/02607455-a:0.00367096
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Faculdade_de_Medicina_do_Rio_de_Janeiro faculdade_de_medicina_do_rio_de_janeiro NP00O00 1 -
a_partir_de a_partir_de SP 1 -
1913 1913 Z 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00150545/15203565-n:0.0014824/15203791-n:0.00145053/15153787-n:0.00131099/15204297-n:0.00130402/15201505-n:0.00129695/08238660-n:0.00129559/15202806-n:0.00127767/15273626-n:0.00123957/15203229-n:0.00123506
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00583064/00127815-a:0.00581348
foi ir VMIS3S0 0.5 01835496-v:0.00144308/02051694-v:0.000801656/01955984-v:0.00075364/01995549-v:0.00073514/02072849-v:0.000721101/01904930-v:0.0006998/02009433-v:0.00067906/01935233-v:0.000656061/01957529-v:0.000655221/02102398-v:0.000634739/00341560-v:0.000622499/02685951-v:0.000595893/01882814-v:0.000586472/02058994-v:0.000585286/01846916-v:0.000579268/02102002-v:0.00057885/01849221-v:0.000575804/01841079-v:0.000550699/02686471-v:0.000534118/01839538-v:0.000520852/00343898-v:0.000513102
eleito eleito AQ0MS00 0.5 00846052-a:0.00690212/01294857-a:0.00590876
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Conselho_Municipal_de_São_Gonçalo conselho_municipal_de_são_gonçalo NP00O00 1 -
( ( Fpa 1 -
RJ rj NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
onde onde RG 0.980752 -
era ser VMII1S0 0.331795 02604760-v:0.0136395
proprietário proprietário NCMS000 0.632636 10388924-n:0.00398343/10389398-n:0.00266027/10245236-n:0.00248126/13243780-n:0.00228494/10458519-n:0.00223676
agrícola agrícola AQ0CS00 1 02790222-a:0.00593847/02050841-a:0.00554822
. . Fp 1 -

Em em SP 1 -
1915 1915 Z 1 -
conseguiu conseguir VMIS3S0 1 02524171-v:0.0145961/02213336-v:0.0125671
eleger eleger VMN03S0 1 -
se se PP3CN00 1 -
deputado deputado NCMS000 0.993827 09830400-n:0.0132062/10005934-n:0.0130577
a a SP 1 -
